[CSV] C:\Users\MASL\Desktop\ir data(get)\시나리오\회대 시나리오 밝음.csv
[결과 폴더] C:\Users\MASL\Desktop\코드개선\3차 수동\predict_results\회대_20260330_002124
[바닥] 회대
[baseline] 819.522
전체 window 수: 115
바닥: 29개 (25.2%)
액체: 86개 (74.8%)

[상세 window]
[086]  425- 440 | final=  액체 | seed=1 | pL= 87.4 | pF= 12.6 | chg= 62.48 | grad= 7.38 | edge=0.60 | fdiff=44.86
[087]  430- 445 | final=  액체 | seed=1 | pL= 97.0 | pF=  3.0 | chg= 62.48 | grad= 5.84 | edge=0.27 | fdiff=54.77
[088]  435- 450 | final=  액체 | seed=0 | pL= 81.1 | pF= 18.9 | chg= 62.08 | grad= 0.10 | edge=0.00 | fdiff=55.73
[089]  440- 455 | final=  액체 | seed=0 | pL= 62.5 | pF= 37.5 | chg= 62.48 | grad= 0.14 | edge=0.00 | fdiff=55.79
[090]  445- 460 | final=  액체 | seed=1 | pL= 87.8 | pF= 12.2 | chg= 62.48 | grad= 0.14 | edge=0.00 | fdiff=56.00
[091]  450- 465 | final=  액체 | seed=1 | pL= 90.5 | pF=  9.5 | chg= 62.68 | grad= 4.36 | edge=0.20 | fdiff=55.68
[092]  455- 470 | final=  액체 | seed=1 | pL= 88.0 | pF= 12.0 | chg= 62.68 | grad= 7.30 | edge=0.53 | fdiff=47.44
[093]  460- 475 | final=  액체 | seed=1 | pL= 83.1 | pF= 16.9 | chg= 62.68 | grad= 7.30 | edge=0.67 | fdiff=32.88
[094]  465- 480 | final=  액체 | seed=1 | pL= 72.5 | pF= 27.5 | chg= 53.48 | grad= 7.30 | edge=0.47 | fdiff=18.74
[095]  470- 485 | final=  액체 | seed=1 | pL= 77.6 | pF= 22.4 | chg= 18.88 | grad= 2.86 | edge=0.13 | fdiff=12.38
[096]  475- 490 | final=  액체 | seed=1 | pL= 95.8 | pF=  4.2 | chg= 18.68 | grad= 0.12 | edge=0.00 | fdiff=12.29
[097]  480- 495 | final=  액체 | seed=0 | pL= 77.6 | pF= 22.4 | chg= 18.88 | grad= 0.16 | edge=0.00 | fdiff=12.33
[098]  485- 500 | final=  액체 | seed=0 | pL= 65.1 | pF= 34.9 | chg= 19.28 | grad= 0.72 | edge=0.07 | fdiff=12.58
[099]  490- 505 | final=  액체 | seed=1 | pL= 51.2 | pF= 48.8 | chg= 40.28 | grad= 8.26 | edge=0.40 | fdiff=16.13
[100]  495- 510 | final=  액체 | seed=1 | pL= 66.2 | pF= 33.8 | chg= 74.68 | grad= 8.54 | edge=0.73 | fdiff=31.08
[101]  500- 515 | final=  액체 | seed=1 | pL= 83.5 | pF= 16.5 | chg= 75.08 | grad= 8.54 | edge=0.73 | fdiff=49.48
[102]  505- 520 | final=  액체 | seed=1 | pL= 94.7 | pF=  5.3 | chg= 75.08 | grad= 8.54 | edge=0.40 | fdiff=64.35
[103]  510- 525 | final=  액체 | seed=0 | pL= 82.9 | pF= 17.1 | chg= 75.08 | grad= 0.84 | edge=0.07 | fdiff=67.59
[104]  515- 530 | final=  액체 | seed=1 | pL= 85.7 | pF= 14.3 | chg= 73.88 | grad= 0.24 | edge=0.00 | fdiff=66.96
[105]  520- 535 | final=  액체 | seed=0 | pL= 62.6 | pF= 37.4 | chg= 73.68 | grad= 0.24 | edge=0.00 | fdiff=66.76
[106]  525- 540 | final=  액체 | seed=1 | pL= 89.2 | pF= 10.8 | chg= 73.68 | grad= 7.12 | edge=0.27 | fdiff=64.99
[107]  530- 545 | final=  액체 | seed=1 | pL= 87.2 | pF= 12.8 | chg= 73.68 | grad= 7.62 | edge=0.60 | fdiff=53.75
[108]  535- 550 | final=  액체 | seed=1 | pL= 80.8 | pF= 19.2 | chg= 73.68 | grad= 7.62 | edge=0.60 | fdiff=39.01
[109]  540- 555 | final=  액체 | seed=1 | pL= 67.4 | pF= 32.6 | chg= 50.68 | grad= 7.62 | edge=0.33 | fdiff=26.28
[110]  545- 560 | final=  액체 | seed=0 | pL= 82.1 | pF= 17.9 | chg= 30.08 | grad= 0.66 | edge=0.00 | fdiff=23.27
[111]  550- 565 | final=  액체 | seed=1 | pL= 93.3 | pF=  6.7 | chg= 30.08 | grad= 0.58 | edge=0.00 | fdiff=23.29
[112]  555- 570 | final=  액체 | seed=1 | pL= 87.5 | pF= 12.5 | chg= 30.08 | grad= 0.58 | edge=0.00 | fdiff=22.40
[113]  560- 575 | final=  액체 | seed=0 | pL= 76.0 | pF= 24.0 | chg= 29.88 | grad= 0.58 | edge=0.00 | fdiff=21.34
[114]  565- 580 | final=  바닥 | seed=0 | pL= 84.5 | pF= 15.5 | chg= 27.28 | grad= 0.48 | edge=0.00 | fdiff=20.45
[115]  570- 585 | final=  바닥 | seed=0 | pL= 80.4 | pF= 19.6 | chg= 26.68 | grad= 0.12 | edge=0.00 | fdiff=20.31
