record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
data,,685.5,717.0,31.5,717.0,Time=7.4s | BaseRaw=685.5 | CurrentRaw=717.0 | Change=31.5 => Liquid
data,,685.5,716.8,31.3,716.8,Time=7.5s | BaseRaw=685.5 | CurrentRaw=716.8 | Change=31.3 => Liquid
data,,685.5,716.0,30.5,716.0,Time=7.6s | BaseRaw=685.5 | CurrentRaw=716.0 | Change=30.5 => Liquid
data,,685.5,717.2,31.7,717.2,Time=7.7s | BaseRaw=685.5 | CurrentRaw=717.2 | Change=31.7 => Liquid
data,,685.5,717.0,31.5,717.0,Time=7.8s | BaseRaw=685.5 | CurrentRaw=717.0 | Change=31.5 => Liquid
data,,685.5,715.8,30.3,715.8,Time=7.9s | BaseRaw=685.5 | CurrentRaw=715.8 | Change=30.3 => Liquid
data,,685.5,717.0,31.5,717.0,Time=8.0s | BaseRaw=685.5 | CurrentRaw=717.0 | Change=31.5 => Liquid
data,,685.5,717.0,31.5,717.0,Time=8.1s | BaseRaw=685.5 | CurrentRaw=717.0 | Change=31.5 => Liquid
data,,685.5,715.6,30.1,715.6,Time=8.2s | BaseRaw=685.5 | CurrentRaw=715.6 | Change=30.1 => Liquid
data,,685.5,717.2,31.7,717.2,Time=8.3s | BaseRaw=685.5 | CurrentRaw=717.2 | Change=31.7 => Liquid
data,,685.5,717.2,31.7,717.2,Time=8.4s | BaseRaw=685.5 | CurrentRaw=717.2 | Change=31.7 => Liquid
data,,685.5,716.6,31.1,716.6,Time=8.5s | BaseRaw=685.5 | CurrentRaw=716.6 | Change=31.1 => Liquid
data,,685.5,717.6,32.1,717.6,Time=8.6s | BaseRaw=685.5 | CurrentRaw=717.6 | Change=32.1 => Liquid
data,,685.5,717.8,32.3,717.8,Time=8.7s | BaseRaw=685.5 | CurrentRaw=717.8 | Change=32.3 => Liquid
data,,685.5,716.8,31.3,716.8,Time=8.8s | BaseRaw=685.5 | CurrentRaw=716.8 | Change=31.3 => Liquid
data,,685.5,717.6,32.1,717.6,Time=8.9s | BaseRaw=685.5 | CurrentRaw=717.6 | Change=32.1 => Liquid
data,,685.5,716.6,31.1,716.6,Time=9.0s | BaseRaw=685.5 | CurrentRaw=716.6 | Change=31.1 => Liquid
data,,685.5,715.6,30.1,715.6,Time=9.1s | BaseRaw=685.5 | CurrentRaw=715.6 | Change=30.1 => Liquid
data,,685.5,716.4,30.9,716.4,Time=9.2s | BaseRaw=685.5 | CurrentRaw=716.4 | Change=30.9 => Liquid
data,,685.5,716.4,30.9,716.4,Time=9.3s | BaseRaw=685.5 | CurrentRaw=716.4 | Change=30.9 => Liquid
data,,685.5,715.6,30.1,715.6,Time=9.4s | BaseRaw=685.5 | CurrentRaw=715.6 | Change=30.1 => Liquid
data,,685.5,716.8,31.3,716.8,Time=9.5s | BaseRaw=685.5 | CurrentRaw=716.8 | Change=31.3 => Liquid
data,,685.5,717.2,31.7,717.2,Time=9.6s | BaseRaw=685.5 | CurrentRaw=717.2 | Change=31.7 => Liquid
data,,685.5,716.8,31.3,716.8,Time=9.7s | BaseRaw=685.5 | CurrentRaw=716.8 | Change=31.3 => Liquid
data,,685.5,717.0,31.5,717.0,Time=9.8s | BaseRaw=685.5 | CurrentRaw=717.0 | Change=31.5 => Liquid
data,,685.5,717.8,32.3,717.8,Time=9.9s | BaseRaw=685.5 | CurrentRaw=717.8 | Change=32.3 => Liquid
data,,685.5,718.2,32.7,718.2,Time=10.0s | BaseRaw=685.5 | CurrentRaw=718.2 | Change=32.7 => Liquid
data,,685.5,719.8,34.3,719.8,Time=10.1s | BaseRaw=685.5 | CurrentRaw=719.8 | Change=34.3 => Liquid
data,,685.5,720.6,35.1,720.6,Time=10.2s | BaseRaw=685.5 | CurrentRaw=720.6 | Change=35.1 => Liquid
data,,685.5,722.4,36.9,722.4,Time=10.3s | BaseRaw=685.5 | CurrentRaw=722.4 | Change=36.9 => Liquid
data,,685.5,724.6,39.1,724.6,Time=10.4s | BaseRaw=685.5 | CurrentRaw=724.6 | Change=39.1 => Liquid
data,,685.5,726.0,40.5,726.0,Time=10.5s | BaseRaw=685.5 | CurrentRaw=726.0 | Change=40.5 => Liquid
