[CSV] C:\Users\MASL\Desktop\ir data(get)\시나리오\회대 시나리오 밝음.csv
[결과 폴더] C:\Users\MASL\Desktop\코드개선\3차 수동\predict_results\회대_20260329_232149
[바닥] 회대
[baseline] 819.522
전체 window 수: 115
바닥: 7개 (6.1%)
액체: 108개 (93.9%)

[상세 window]
[001]    0-  15 | final=  바닥 | state=      FLOOR | pL= 90.5 | pF=  9.5 | anch_ofs= 33.01/327.80 | chg= 33.01 | grad=163.90 | edge=0.20 | anchor=819.52
[024]  115- 130 | final=  액체 | state=LIQUID_HOLD | pL= 68.1 | pF= 31.9 | anch_ofs= 12.29/ 13.28 | chg= 15.33 | grad= 0.42 | edge=0.00 | anchor=822.56
[025]  120- 135 | final=  액체 | state=LIQUID_HOLD | pL= 73.1 | pF= 26.9 | anch_ofs= 12.95/ 14.40 | chg= 15.98 | grad= 0.42 | edge=0.00 | anchor=822.56
[026]  125- 140 | final=  액체 | state=LIQUID_HOLD | pL= 73.6 | pF= 26.4 | anch_ofs= 13.94/ 14.92 | chg= 16.97 | grad= 0.30 | edge=0.00 | anchor=822.56
[027]  130- 145 | final=  액체 | state=LIQUID_HOLD | pL= 61.7 | pF= 38.3 | anch_ofs= 14.84/ 17.52 | chg= 17.87 | grad= 1.32 | edge=0.13 | anchor=822.56
[028]  135- 150 | final=  액체 | state=LIQUID_HOLD | pL= 61.4 | pF= 38.6 | anch_ofs= 18.47/ 29.68 | chg= 21.50 | grad= 2.82 | edge=0.47 | anchor=822.56
[029]  140- 155 | final=  액체 | state=LIQUID_HOLD | pL= 74.0 | pF= 26.0 | anch_ofs= 24.16/ 32.16 | chg= 27.20 | grad= 2.82 | edge=0.53 | anchor=822.56
[030]  145- 160 | final=  액체 | state=LIQUID_HOLD | pL= 83.3 | pF= 16.7 | anch_ofs= 29.50/ 32.16 | chg= 32.53 | grad= 2.82 | edge=0.40 | anchor=822.56
[031]  150- 165 | final=  액체 | state=LIQUID_HOLD | pL= 82.6 | pF= 17.4 | anch_ofs= 31.26/ 32.16 | chg= 34.30 | grad= 0.76 | edge=0.00 | anchor=822.56
[032]  155- 170 | final=  액체 | state=LIQUID_HOLD | pL= 72.2 | pF= 27.8 | anch_ofs= 30.22/ 32.12 | chg= 33.25 | grad= 0.50 | edge=0.00 | anchor=822.56
[033]  160- 175 | final=  액체 | state=LIQUID_HOLD | pL= 63.8 | pF= 36.2 | anch_ofs= 29.10/ 30.96 | chg= 32.14 | grad= 0.52 | edge=0.00 | anchor=822.56
[034]  165- 180 | final=  액체 | state=LIQUID_HOLD | pL= 56.3 | pF= 43.7 | anch_ofs= 28.77/ 29.44 | chg= 31.81 | grad= 0.24 | edge=0.00 | anchor=822.56
