record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
data,,730.0,693.6,36.4,693.6,Time=8.7s | BaseRaw=730.0 | CurrentRaw=693.6 | Change=36.4 => Liquid
data,,730.0,693.6,36.4,693.6,Time=8.8s | BaseRaw=730.0 | CurrentRaw=693.6 | Change=36.4 => Liquid
data,,730.0,693.4,36.6,693.4,Time=8.9s | BaseRaw=730.0 | CurrentRaw=693.4 | Change=36.6 => Liquid
data,,730.0,693.4,36.6,693.4,Time=9.0s | BaseRaw=730.0 | CurrentRaw=693.4 | Change=36.6 => Liquid
data,,730.0,693.4,36.6,693.4,Time=9.1s | BaseRaw=730.0 | CurrentRaw=693.4 | Change=36.6 => Liquid
data,,730.0,693.4,36.6,693.4,Time=9.2s | BaseRaw=730.0 | CurrentRaw=693.4 | Change=36.6 => Liquid
data,,730.0,693.2,36.8,693.2,Time=9.3s | BaseRaw=730.0 | CurrentRaw=693.2 | Change=36.8 => Liquid
data,,730.0,694.6,35.4,694.6,Time=9.4s | BaseRaw=730.0 | CurrentRaw=694.6 | Change=35.4 => Liquid
data,,730.0,700.2,29.8,700.2,Time=9.5s | BaseRaw=730.0 | CurrentRaw=700.2 | Change=29.8 => Liquid
data,,730.0,707.0,23.0,707.0,Time=9.6s | BaseRaw=730.0 | CurrentRaw=707.0 | Change=23.0 => Liquid
data,,730.0,714.2,15.8,714.2,Time=9.7s | BaseRaw=730.0 | CurrentRaw=714.2 | Change=15.8 => Liquid
data,,730.0,721.4,8.6,721.4,Time=9.8s | BaseRaw=730.0 | CurrentRaw=721.4 | Change=8.6 => Floor
data,,730.0,727.2,2.8,727.2,Time=9.9s | BaseRaw=730.0 | CurrentRaw=727.2 | Change=2.8 => Floor
data,,730.0,728.8,1.2,728.8,Time=10.0s | BaseRaw=730.0 | CurrentRaw=728.8 | Change=1.2 => Floor
data,,730.0,729.0,1.0,729.0,Time=10.1s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
