[CSV] C:\Users\MASL\Desktop\ir data(get)\시나리오\회대 시나리오 밝음.csv
[결과 폴더] C:\Users\MASL\Desktop\코드개선\3차 수동\predict_results\회대_20260330_000000
[바닥] 회대
[baseline] 819.522
전체 window 수: 115
바닥: 9개 (7.8%)
액체: 106개 (92.2%)
가장 많이 나온 액체: 액체 (106 windows)

[상세 window]
[100]  495- 510 | final=  액체 | state=LIQUID_HOLD | model=  액체( 74.2) | nonfloor=  액체( 74.2) | anch_ofs= 29.78/ 65.60 | chg= 37.22 | grad= 8.54 | edge=0.67 | anchor=826.96
[101]  500- 515 | final=  액체 | state=LIQUID_HOLD | model=  액체( 85.6) | nonfloor=  액체( 85.6) | anch_ofs= 48.18/ 67.28 | chg= 55.62 | grad= 8.54 | edge=0.73 | anchor=826.96
[102]  505- 520 | final=  액체 | state=LIQUID_HOLD | model=  액체( 90.3) | nonfloor=  액체( 90.3) | anch_ofs= 63.05/ 67.28 | chg= 70.49 | grad= 8.54 | edge=0.40 | anchor=826.96
[103]  510- 525 | final=  액체 | state=LIQUID_HOLD | model=  액체( 80.4) | nonfloor=  액체( 80.4) | anch_ofs= 66.29/ 67.28 | chg= 73.73 | grad= 0.84 | edge=0.07 | anchor=826.96
[104]  515- 530 | final=  액체 | state=LIQUID_HOLD | model=  액체( 78.5) | nonfloor=  액체( 78.5) | anch_ofs= 65.66/ 66.44 | chg= 73.09 | grad= 0.24 | edge=0.00 | anchor=826.96
[105]  520- 535 | final=  액체 | state=LIQUID_HOLD | model=  액체( 63.4) | nonfloor=  액체( 63.4) | anch_ofs= 65.47/ 66.08 | chg= 72.90 | grad= 0.24 | edge=0.00 | anchor=826.96
[106]  525- 540 | final=  액체 | state=LIQUID_HOLD | model=  액체( 84.7) | nonfloor=  액체( 84.7) | anch_ofs= 63.69/ 66.08 | chg= 71.13 | grad= 7.12 | edge=0.27 | anchor=826.96
[107]  530- 545 | final=  액체 | state=LIQUID_HOLD | model=  액체( 82.7) | nonfloor=  액체( 82.7) | anch_ofs= 52.45/ 66.08 | chg= 59.89 | grad= 7.62 | edge=0.60 | anchor=826.96
[108]  535- 550 | final=  액체 | state=LIQUID_HOLD | model=  액체( 77.1) | nonfloor=  액체( 77.1) | anch_ofs= 37.72/ 66.04 | chg= 45.15 | grad= 7.62 | edge=0.60 | anchor=826.96
[109]  540- 555 | final=  액체 | state=LIQUID_HOLD | model=  액체( 67.0) | nonfloor=  액체( 67.0) | anch_ofs= 24.98/ 43.20 | chg= 32.42 | grad= 7.62 | edge=0.33 | anchor=826.96
[110]  545- 560 | final=  액체 | state=LIQUID_HOLD | model=  액체( 80.2) | nonfloor=  액체( 80.2) | anch_ofs= 21.97/ 22.44 | chg= 29.41 | grad= 0.66 | edge=0.00 | anchor=826.96
[111]  550- 565 | final=  액체 | state=LIQUID_HOLD | model=  액체( 88.3) | nonfloor=  액체( 88.3) | anch_ofs= 21.99/ 22.44 | chg= 29.42 | grad= 0.58 | edge=0.00 | anchor=826.96
[112]  555- 570 | final=  액체 | state=LIQUID_HOLD | model=  액체( 82.1) | nonfloor=  액체( 82.1) | anch_ofs= 21.10/ 22.44 | chg= 28.53 | grad= 0.58 | edge=0.00 | anchor=826.96
[113]  560- 575 | final=  액체 | state=LIQUID_HOLD | model=  액체( 73.8) | nonfloor=  액체( 73.8) | anch_ofs= 20.04/ 22.44 | chg= 27.47 | grad= 0.58 | edge=0.00 | anchor=826.96
[114]  565- 580 | final=  액체 | state=LIQUID_HOLD | model=  액체( 71.6) | nonfloor=  액체( 71.6) | anch_ofs= 19.15/ 19.96 | chg= 26.58 | grad= 0.48 | edge=0.00 | anchor=826.96
[115]  570- 585 | final=  액체 | state=LIQUID_HOLD | model=  액체( 70.9) | nonfloor=  액체( 70.9) | anch_ofs= 19.01/ 19.20 | chg= 26.44 | grad= 0.12 | edge=0.00 | anchor=826.96
